source,target,weight
2v2UIkZpgupzvSNS9wicgV,4UhDECNxyqKv0Cn0sua1MC,1
2T1aUibqR2QC2sINIDQOAK,52iwsT98xCoGgiGntTiR7K,3
1TA5sGRlKUJXBN4ZyJuDIX,4cYbf45YbZptNISnhay0xH,1
1r4hJ1h58CWwUQe3MxPuau,52iwsT98xCoGgiGntTiR7K,2
1vyhD5VmyZ7KMfW5gqLgo5,2R21vXR83lH98kGeO99Y66,2
12vb80Km0Ew53ABfJOepVz,2R21vXR83lH98kGeO99Y66,2
1WMwuNKzEFtU6pPkdtryYS,2R21vXR83lH98kGeO99Y66,1
18dspUI6gqabm5XCC2RcUD,1TA5sGRlKUJXBN4ZyJuDIX,1
2R21vXR83lH98kGeO99Y66,7MNP6nVHIDvPCRvfCeAJpF,2
3EiLUeyEcA6fbRPSHkG5kb,4IMAo2UQchVFyPH24PAjUs,2
0VRj0yCOv2FXJNP47XQnx5,2T1aUibqR2QC2sINIDQOAK,1
2R21vXR83lH98kGeO99Y66,33ScadVnbm2X8kkUqOkC6Z,1
2R21vXR83lH98kGeO99Y66,2T1aUibqR2QC2sINIDQOAK,3
37230BxxYs9ksS7OkZw3IU,7j6DKwmjbxvpQO8h914uEz,1
1GKIlPFdcewHtpDVCQ8zmJ,7j6DKwmjbxvpQO8h914uEz,1
1rTUwYS38LkQTlT2fhikch,3S9Hg7sRKhmtWunFZ2yAYP,2
0Tyf4eMcgHNc7xTDFe9Yqs,4UhDECNxyqKv0Cn0sua1MC,1
4axKuDPr6WKcDCyh8vueTY,4s6Xg38sbqh4xpf4OqhVUK,1
12lHTAdc9T204lw5qPtasv,2R21vXR83lH98kGeO99Y66,1
2R21vXR83lH98kGeO99Y66,329e4yvIujISKGKz1BZZbO,2
0Q8NcsJwoCbZOHHW63su5S,2R21vXR83lH98kGeO99Y66,1
1i8SpTcr7yvPOmcqrbnVXY,790FomKkXshlbRYZFtlgla,3
1TA5sGRlKUJXBN4ZyJuDIX,2v2UIkZpgupzvSNS9wicgV,1
3E12tRURRvPfHz0hAMCFYc,4s6Xg38sbqh4xpf4OqhVUK,1
0pePYDrJGk8gqMRbXrLJC8,2R21vXR83lH98kGeO99Y66,2
2R21vXR83lH98kGeO99Y66,52iwsT98xCoGgiGntTiR7K,2
2R21vXR83lH98kGeO99Y66,7y5vacxuCM2lyUEEPnQcwd,1
1r3tpVQ08jFAA2P4xzV5o4,47MpMsUfWtgyIIBEFOr4FE,1
2DlGxzQSjYe5N6G9nkYghR,2R21vXR83lH98kGeO99Y66,1
3i6lAgVHplDXb6zrjIeBeK,4axKuDPr6WKcDCyh8vueTY,1
2R21vXR83lH98kGeO99Y66,7j6DKwmjbxvpQO8h914uEz,1
2R21vXR83lH98kGeO99Y66,4ncaw2cfA3Wlly1tBD2eWt,1
4VMYDCV2IEDYJArk749S6m,790FomKkXshlbRYZFtlgla,1
2R21vXR83lH98kGeO99Y66,2cPqdH7XMvwaBJEVjheH8g,1
4axKuDPr6WKcDCyh8vueTY,6w9ToX5slZ4uIdmD17hJ3c,1
1SupJlEpv7RS2tPNRaHViT,2R21vXR83lH98kGeO99Y66,2
2R21vXR83lH98kGeO99Y66,4IMAo2UQchVFyPH24PAjUs,1
